year,state_abbr,state_name,population,violent_crime,property_crime,Violent_Crime_rate,Property_Crime_rate
1979,US,United States,220099000,1208030,11041500,548.8575596,5016.606164
1979,AK,Alaska,406000,1994,23193,491.1330049,5712.561576
1979,AL,Alabama,3769000,15578,144372,413.3191828,3830.512072
1979,AR,Arkansas,2180000,7984,70949,366.2385321,3254.541284
1979,AZ,Arizona,2450000,14528,177977,592.9795918,7264.367347
1979,CA,California,22696000,184087,1511021,811.098872,6657.653331
1979,CO,Colorado,2772000,14472,180984,522.0779221,6529.004329
1979,CT,Connecticut,3115000,12902,167131,414.1894061,5365.361156
1979,DC,District of Columbia,656000,10553,45877,1608.689024,6993.445122
1979,DE,Delaware,582000,3127,34853,537.2852234,5988.487973
1979,FL,Florida,8860000,73881,607281,833.8713318,6854.187359
1979,GA,Georgia,5118000,28594,248641,558.6948027,4858.167253
1979,HI,Hawaii,915000,2651,63664,289.726776,6957.814208
1979,IA,Iowa,2903000,5259,119620,181.1574234,4120.564933
1979,ID,Idaho,905000,2613,35766,288.7292818,3952.044199
1979,IL,Illinois,11230000,83540,593750,743.9002671,5287.177204
1979,IN,Indiana,5400000,18254,230223,338.037037,4263.388889
1979,KS,Kansas,2369000,8376,107605,353.5669059,4542.211904
1979,KY,Kentucky,3527000,8748,103548,248.0294868,2935.866175
1979,LA,Louisiana,4026000,27229,188514,676.3288624,4682.414307
1979,MA,Massachusetts,5769000,30650,310756,531.2879182,5386.652799
1979,MD,Maryland,4149000,33007,228159,795.5410942,5499.132321
1979,ME,Maine,1097000,2221,45030,202.461258,4104.831358
1979,MI,Michigan,9208000,56558,509457,614.2267593,5532.764987
1979,MN,Minnesota,4060000,8973,169376,221.0098522,4171.82266
1979,MO,Missouri,4868000,25662,214809,527.1569433,4412.67461
1979,MS,Mississippi,2406000,7786,63447,323.6076475,2637.032419
1979,MT,Montana,786000,1762,33298,224.173028,4236.386768
1979,NC,North Carolina,5606000,25009,220113,446.1113093,3926.382447
1979,ND,North Dakota,657000,403,17703,61.33942161,2694.520548
1979,NE,Nebraska,1574000,3556,59295,225.9212198,3767.153748
1979,NH,New Hampshire,887000,1241,39373,139.9098083,4438.895152
1979,NJ,New Jersey,7332000,36747,390018,501.1865794,5319.394435
